# mapping_set_id: "https://github.com/selgebali/datacite4.6-jsonld/blob/main/mappings/datacite-schemaorg.sssom.tsv"
# mapping_set_version: "0.1.0"
# mapping_set_description: "SSSOM mappings from DataCite Metadata Schema 4.6 properties and controlled vocabulary terms to Schema.org. Schema.org targets only; DataCite-to-DCTERMS/DCAT-AP mappings are maintained in a separate artefact."
# creator_id: "https://orcid.org/0000-0003-1378-5495"
# license: "https://creativecommons.org/licenses/by/4.0/"
# subject_source: "https://schema.stage.datacite.org/linked-data/"
# object_source: "https://schema.org/"
# mapping_date: "2026-05-12"
# curie_map:
#   datacite-class: "https://schema.stage.datacite.org/linked-data/class/"
#   datacite-prop: "https://schema.stage.datacite.org/linked-data/property/"
#   datacite-vocab: "https://schema.stage.datacite.org/linked-data/vocab/"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
#
# Notes:
#   - Subject IRIs for sub-elements use nested paths (e.g. property/creator/creatorName).
#     These resolve via the redirect workflow to the canonical flat property files.
#   - dateType values with no schema.org equivalent (Accepted, Submitted, Withdrawn, Other, Valid)
#     are intentionally omitted; they are covered in the DataCite-DCTERMS mapping.
#     Note: schema:validFrom is NOT in the domain of CreativeWork/Dataset and was therefore removed.
#   - object_id values use https://schema.org/ (HTTPS) per current schema.org convention.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
datacite-prop:creator/nameIdentifier/nameIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	nameIdentifierScheme	propertyID	Scheme name (e.g. ORCID) is the propertyID of the identifier PropertyValue
datacite-prop:creator/nameIdentifier/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the identifier scheme (e.g. https://orcid.org)
datacite-prop:creator/affiliation	skos:exactMatch	schema:affiliation	semapv:ManualMappingCuration	affiliation	affiliation	Organization with which the creator is affiliated
datacite-prop:creator/affiliation/affiliationIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	affiliationIdentifier	identifier	Persistent identifier for the affiliation (e.g. ROR); modelled as a PropertyValue
datacite-prop:creator/affiliation/affiliationIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	affiliationIdentifierScheme	propertyID	Scheme name (e.g. ROR) is the propertyID of the affiliation identifier
datacite-prop:creator/affiliation/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the affiliation identifier scheme
datacite-prop:title	skos:exactMatch	schema:name	semapv:ManualMappingCuration	title	name	Primary title of the resource maps to schema:name
datacite-prop:title/titleType	skos:relatedMatch	schema:additionalType	semapv:ManualMappingCuration	titleType	additionalType	titleType qualifies which kind of title it is; individual values drive serialisation choices (see vocab rows below)
datacite-vocab:titleType/AlternativeTitle	skos:exactMatch	schema:alternateName	semapv:ManualMappingCuration	AlternativeTitle	alternateName	An alternative title is serialised as schema:alternateName
datacite-vocab:titleType/Subtitle	skos:exactMatch	schema:alternateName	semapv:ManualMappingCuration	Subtitle	alternateName	A subtitle is a secondary title; schema:alternateName is the appropriate slot
datacite-vocab:titleType/TranslatedTitle	skos:relatedMatch	schema:workTranslation	semapv:ManualMappingCuration	TranslatedTitle	workTranslation	A translated title is associated with the concept of a translated work; relatedMatch because workTranslation is a CreativeWork not a string literal
datacite-vocab:titleType/Other	skos:closeMatch	schema:alternateName	semapv:ManualMappingCuration	Other	alternateName	Variant titles not covered by specific types; closeMatch because schema:alternateName is slightly narrower
datacite-prop:publisher	skos:exactMatch	schema:publisher	semapv:ManualMappingCuration	publisher	publisher	Entity making the resource available
datacite-prop:publisher/publisherIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	publisherIdentifier	identifier	Persistent identifier for the publisher; modelled as a PropertyValue
datacite-prop:publisher/publisherIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	publisherIdentifierScheme	propertyID	Scheme name (e.g. ROR) is the propertyID of the publisher identifier
datacite-prop:publisher/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the publisher identifier scheme
datacite-prop:publicationYear	skos:exactMatch	schema:datePublished	semapv:ManualMappingCuration	publicationYear	datePublished	Year the resource was or will be made publicly available
datacite-prop:subject	skos:broadMatch	schema:about	semapv:ManualMappingCuration	subject	about	DataCite Subject covers both formal topic linkage and free-text tagging; broader than schema:about alone
datacite-prop:subject	skos:relatedMatch	schema:keywords	semapv:ManualMappingCuration	subject	keywords	Free-text subject terms relate informally to schema:keywords; relatedMatch because DataCite Subject also carries URIs and codes
datacite-prop:subject	skos:narrowMatch	schema:DefinedTerm	semapv:ManualMappingCuration	subject	DefinedTerm	When subject carries a valueURI and subjectScheme it can be serialised as a schema:DefinedTerm within a DefinedTermSet
datacite-prop:subject/subjectScheme	skos:exactMatch	schema:name	semapv:ManualMappingCuration	subjectScheme	name	Name of the controlled vocabulary (e.g. LCSH); maps to the name of the DefinedTermSet
datacite-prop:subject/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the controlled vocabulary
datacite-prop:subject/valueURI	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	valueURI	identifier	URI identifying the subject term itself; modelled as the identifier of a DefinedTerm
datacite-prop:subject/classificationCode	skos:exactMatch	schema:termCode	semapv:ManualMappingCuration	classificationCode	termCode	Classification code within the scheme; schema:termCode exists for exactly this purpose
datacite-prop:contributor	skos:exactMatch	schema:contributor	semapv:ManualMappingCuration	contributor	contributor	Non-primary contributing agent
datacite-prop:contributor/contributorType	skos:exactMatch	schema:roleName	semapv:ManualMappingCuration	contributorType	roleName	The contributor's role (e.g. ProjectManager) is expressed as roleName on a schema:Role wrapper
datacite-prop:contributor/contributorName	skos:exactMatch	schema:name	semapv:ManualMappingCuration	contributorName	name	Full display name of the contributor
datacite-prop:contributor/givenName	skos:exactMatch	schema:givenName	semapv:ManualMappingCuration	givenName	givenName	Given name of the contributor
datacite-prop:contributor/familyName	skos:exactMatch	schema:familyName	semapv:ManualMappingCuration	familyName	familyName	Family name of the contributor
datacite-prop:contributor/nameIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	nameIdentifier	identifier	Persistent identifier for the contributor; modelled as a PropertyValue
datacite-prop:contributor/nameIdentifier/nameIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	nameIdentifierScheme	propertyID	Scheme name (e.g. ORCID) is the propertyID of the identifier
datacite-prop:contributor/nameIdentifier/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the name identifier scheme
datacite-prop:contributor/affiliation	skos:exactMatch	schema:affiliation	semapv:ManualMappingCuration	affiliation	affiliation	Organizational affiliation of the contributor
datacite-prop:contributor/affiliation/affiliationIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	affiliationIdentifier	identifier	Persistent identifier for the contributor's affiliation
datacite-prop:contributor/affiliation/affiliationIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	affiliationIdentifierScheme	propertyID	Scheme name (e.g. ROR) for the affiliation identifier
datacite-prop:contributor/affiliation/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the affiliation identifier scheme
datacite-prop:date	skos:broadMatch	schema:Date	semapv:ManualMappingCuration	date	Date	Generic date container; broader than any single schema.org date property
datacite-prop:dateType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	dateType	propertyID	dateType qualifies the date value via PropertyValue.propertyID
datacite-vocab:dateType/Available	skos:closeMatch	schema:datePublished	semapv:ManualMappingCuration	Available	datePublished	Availability date approximates publication date; closeMatch because Available may precede formal journal publication
datacite-vocab:dateType/Copyrighted	skos:exactMatch	schema:copyrightYear	semapv:ManualMappingCuration	Copyrighted	copyrightYear	Date copyright was asserted maps directly to schema:copyrightYear
datacite-vocab:dateType/Collected	skos:closeMatch	schema:dateCreated	semapv:ManualMappingCuration	Collected	dateCreated	Data collection is a form of creation event; closeMatch because collection period != file creation date
datacite-vocab:dateType/Coverage	skos:exactMatch	schema:temporalCoverage	semapv:ManualMappingCuration	Coverage	temporalCoverage	Temporal span the resource describes or covers
datacite-vocab:dateType/Created	skos:exactMatch	schema:dateCreated	semapv:ManualMappingCuration	Created	dateCreated	Date the resource was created
datacite-vocab:dateType/Issued	skos:closeMatch	schema:datePublished	semapv:ManualMappingCuration	Issued	datePublished	Issuance to a repository approximates publication; closeMatch because Issued can precede public availability
datacite-vocab:dateType/Updated	skos:exactMatch	schema:dateModified	semapv:ManualMappingCuration	Updated	dateModified	Date of last modification
datacite-prop:dateInformation	skos:exactMatch	schema:description	semapv:ManualMappingCuration	dateInformation	description	Free-text annotation about the date value (e.g. historical period)
datacite-prop:language	skos:exactMatch	schema:inLanguage	semapv:ManualMappingCuration	language	inLanguage	Language of the resource content
datacite-prop:resourceType	skos:closeMatch	schema:description	semapv:ManualMappingCuration	resourceType	description	Free-text resource type description; closeMatch because schema:description is broader
datacite-prop:resourceTypeGeneral	skos:closeMatch	schema:additionalType	semapv:ManualMappingCuration	resourceTypeGeneral	additionalType	General type drives the JSON-LD @type; closeMatch because additionalType is typically a URI not an enum value
datacite-vocab:resourceTypeGeneral/Audiovisual	skos:exactMatch	schema:MediaObject	semapv:ManualMappingCuration	Audiovisual	MediaObject	Series of visual representations possibly including sound
datacite-vocab:resourceTypeGeneral/Award	skos:broadMatch	schema:Grant	semapv:ManualMappingCuration	Award	Grant	DataCite Award is broader than schema:Grant (covers non-monetary awards); Grant is a narrower schema.org class
datacite-vocab:resourceTypeGeneral/Book	skos:exactMatch	schema:Book	semapv:ManualMappingCuration	Book	Book	Written work bound as a book
datacite-vocab:resourceTypeGeneral/BookChapter	skos:exactMatch	schema:Chapter	semapv:ManualMappingCuration	BookChapter	Chapter	A chapter within a book
datacite-vocab:resourceTypeGeneral/Collection	skos:exactMatch	schema:Collection	semapv:ManualMappingCuration	Collection	Collection	Aggregation of resources
datacite-vocab:resourceTypeGeneral/ComputationalNotebook	skos:closeMatch	schema:SoftwareSourceCode	semapv:ManualMappingCuration	ComputationalNotebook	SoftwareSourceCode	Executable notebook (e.g. Jupyter); closeMatch because SoftwareSourceCode covers source but not the literate-programming execution model
datacite-vocab:resourceTypeGeneral/ConferencePaper	skos:exactMatch	schema:ScholarlyArticle	semapv:ManualMappingCuration	ConferencePaper	ScholarlyArticle	Academic paper submitted to a conference
datacite-vocab:resourceTypeGeneral/ConferenceProceeding	skos:exactMatch	schema:PublicationVolume	semapv:ManualMappingCuration	ConferenceProceeding	PublicationVolume	Volume of academic papers from a conference
datacite-vocab:resourceTypeGeneral/DataPaper	skos:exactMatch	schema:ScholarlyArticle	semapv:ManualMappingCuration	DataPaper	ScholarlyArticle	Scholarly paper describing a dataset
datacite-vocab:resourceTypeGeneral/Dataset	skos:exactMatch	schema:Dataset	semapv:ManualMappingCuration	Dataset	Dataset	Structured set of data
datacite-vocab:resourceTypeGeneral/Dissertation	skos:exactMatch	schema:Thesis	semapv:ManualMappingCuration	Dissertation	Thesis	Academic dissertation or thesis
datacite-vocab:resourceTypeGeneral/Event	skos:exactMatch	schema:Event	semapv:ManualMappingCuration	Event	Event	A non-persistent time-based occurrence
datacite-vocab:resourceTypeGeneral/Image	skos:exactMatch	schema:ImageObject	semapv:ManualMappingCuration	Image	ImageObject	Visual representation other than text
datacite-vocab:resourceTypeGeneral/InteractiveResource	skos:closeMatch	schema:SoftwareApplication	semapv:ManualMappingCuration	InteractiveResource	SoftwareApplication	Resource requiring user interaction; closeMatch because InteractiveResource covers training modules and portals beyond runnable software
datacite-vocab:resourceTypeGeneral/Instrument	skos:closeMatch	schema:Product	semapv:ManualMappingCuration	Instrument	Product	Physical device used to collect or measure data; schema.org has no dedicated Instrument class so Product is used
datacite-vocab:resourceTypeGeneral/Journal	skos:exactMatch	schema:Periodical	semapv:ManualMappingCuration	Journal	Periodical	Scholarly publication issued in regular installments
datacite-vocab:resourceTypeGeneral/JournalArticle	skos:exactMatch	schema:ScholarlyArticle	semapv:ManualMappingCuration	JournalArticle	ScholarlyArticle	Peer-reviewed article in a journal
datacite-vocab:resourceTypeGeneral/Model	skos:closeMatch	schema:3DModel	semapv:ManualMappingCuration	Model	3DModel	closeMatch: DataCite Model includes conceptual/mathematical models; schema:3DModel is too narrow; no better schema.org class exists
datacite-vocab:resourceTypeGeneral/OutputManagementPlan	skos:closeMatch	schema:Report	semapv:ManualMappingCuration	OutputManagementPlan	Report	Formal document describing how research outputs are managed; schema:Report is the closest class
datacite-vocab:resourceTypeGeneral/PeerReview	skos:exactMatch	schema:Review	semapv:ManualMappingCuration	PeerReview	Review	Evaluation of scholarly work by peers in the same field
datacite-vocab:resourceTypeGeneral/PhysicalObject	skos:closeMatch	schema:Product	semapv:ManualMappingCuration	PhysicalObject	Product	Physical artifact or specimen; schema:Product is the closest tangible-item class without dcterms:PhysicalObject
datacite-vocab:resourceTypeGeneral/Preprint	skos:closeMatch	schema:ScholarlyArticle	semapv:ManualMappingCuration	Preprint	ScholarlyArticle	Pre-review version of a scholarly article; closeMatch because preprints share structure but are not peer-reviewed
datacite-vocab:resourceTypeGeneral/Project	skos:exactMatch	schema:Project	semapv:ManualMappingCuration	Project	Project	Planned collaborative endeavor
datacite-vocab:resourceTypeGeneral/Report	skos:exactMatch	schema:Report	semapv:ManualMappingCuration	Report	Report	Formal document presenting information for a specific audience
datacite-vocab:resourceTypeGeneral/Service	skos:exactMatch	schema:Service	semapv:ManualMappingCuration	Service	Service	Organized system supplying functions required by end users
datacite-vocab:resourceTypeGeneral/Software	skos:exactMatch	schema:SoftwareApplication	semapv:ManualMappingCuration	Software	SoftwareApplication	Computer program in source or compiled form
datacite-vocab:resourceTypeGeneral/Sound	skos:exactMatch	schema:AudioObject	semapv:ManualMappingCuration	Sound	AudioObject	Resource primarily intended to be heard
datacite-vocab:resourceTypeGeneral/Standard	skos:relatedMatch	schema:DefinedTermSet	semapv:ManualMappingCuration	Standard	DefinedTermSet	A Standard establishes a reference model; DefinedTermSet is the vocabulary it defines; relatedMatch because a Standard is a document not a term set
datacite-vocab:resourceTypeGeneral/StudyRegistration	skos:closeMatch	schema:MedicalStudy	semapv:ManualMappingCuration	StudyRegistration	MedicalStudy	Time-stamped research plan shared before study execution; MedicalStudy is the closest schema.org class though too narrow for non-medical fields
datacite-vocab:resourceTypeGeneral/Text	skos:exactMatch	schema:DigitalDocument	semapv:ManualMappingCuration	Text	DigitalDocument	Generic textual resource not covered by a more specific type
datacite-vocab:resourceTypeGeneral/Workflow	skos:closeMatch	schema:HowTo	semapv:ManualMappingCuration	Workflow	HowTo	Structured sequence of steps for reproducible execution; closeMatch because HowTo covers instructional content rather than executable pipelines
datacite-vocab:resourceTypeGeneral/Other	skos:closeMatch	schema:CreativeWork	semapv:ManualMappingCuration	Other	CreativeWork	Fallback to the most general schema.org creative work class
datacite-prop:alternateIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	alternateIdentifier	identifier	Additional persistent identifier for the same resource; modelled as an extra schema:PropertyValue alongside the DOI
datacite-prop:alternateIdentifier/alternateIdentifierType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	alternateIdentifierType	propertyID	Scheme or namespace of the alternate identifier (e.g. URL)
datacite-prop:relatedIdentifier	skos:closeMatch	schema:citation	semapv:ManualMappingCuration	relatedIdentifier	citation	Related identifier for another resource; citation is the most common use; specific relation is qualified by relationType (see vocab rows below)
datacite-prop:relatedIdentifier/relatedIdentifierType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	relatedIdentifierType	propertyID	Scheme of the related identifier (e.g. DOI)
datacite-prop:relatedIdentifier/relationType	skos:relatedMatch	schema:additionalType	semapv:ManualMappingCuration	relationType	additionalType	The nature of the relation; individual vocab values drive specific schema.org properties (see below)
datacite-prop:relatedIdentifier/relatedMetadataScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	relatedMetadataScheme	propertyID	Metadata scheme of the related resource (optional)
datacite-prop:relatedIdentifier/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	URL of the related identifier scheme
datacite-prop:relatedIdentifier/schemeType	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	schemeType	encodingFormat	Encoding format or protocol of the related identifier scheme
datacite-vocab:relationType/IsCitedBy	skos:relatedMatch	schema:citation	semapv:ManualMappingCuration	IsCitedBy	citation	Inverse of Cites; schema:citation has no explicit inverse property
datacite-vocab:relationType/Cites	skos:exactMatch	schema:citation	semapv:ManualMappingCuration	Cites	citation	This resource cites another; maps directly to schema:citation
datacite-vocab:relationType/IsSupplementTo	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsSupplementTo	isRelatedTo	Supplement relationship; no dedicated schema.org property
datacite-vocab:relationType/IsSupplementedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsSupplementedBy	isRelatedTo	Inverse supplement relationship
datacite-vocab:relationType/IsContinuedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsContinuedBy	isRelatedTo	Continuation relationship; no dedicated schema.org property
datacite-vocab:relationType/Continues	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	Continues	isRelatedTo	Continues a prior resource; no dedicated schema.org property
datacite-vocab:relationType/IsDescribedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsDescribedBy	isRelatedTo	A separate resource describes this one
datacite-vocab:relationType/Describes	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	Describes	isRelatedTo	This resource describes another
datacite-vocab:relationType/HasMetadata	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	HasMetadata	isRelatedTo	A metadata document exists for this resource
datacite-vocab:relationType/IsMetadataFor	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsMetadataFor	isRelatedTo	This resource is metadata for another
datacite-vocab:relationType/IsNewVersionOf	skos:closeMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsNewVersionOf	isBasedOn	New version derived from a prior version; isBasedOn is the closest schema.org term
datacite-vocab:relationType/IsPreviousVersionOf	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsPreviousVersionOf	isBasedOn	Inverse of IsNewVersionOf
datacite-vocab:relationType/IsPartOf	skos:exactMatch	schema:isPartOf	semapv:ManualMappingCuration	IsPartOf	isPartOf	This resource is part of another
datacite-vocab:relationType/HasPart	skos:exactMatch	schema:hasPart	semapv:ManualMappingCuration	HasPart	hasPart	This resource has a part
datacite-vocab:relationType/IsPublishedIn	skos:closeMatch	schema:isPartOf	semapv:ManualMappingCuration	IsPublishedIn	isPartOf	Published within a journal or collection; isPartOf is the closest schema.org term
datacite-vocab:relationType/IsReferencedBy	skos:relatedMatch	schema:citation	semapv:ManualMappingCuration	IsReferencedBy	citation	Inverse of References; schema:citation has no explicit inverse
datacite-vocab:relationType/References	skos:closeMatch	schema:citation	semapv:ManualMappingCuration	References	citation	This resource references another; citation is the closest but implies scholarly citation
datacite-vocab:relationType/IsDocumentedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsDocumentedBy	isRelatedTo	Documentation exists for this resource
datacite-vocab:relationType/Documents	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	Documents	isRelatedTo	This resource documents another
datacite-vocab:relationType/IsCompiledBy	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsCompiledBy	isBasedOn	Compiled/built from another resource
datacite-vocab:relationType/Compiles	skos:relatedMatch	schema:hasPart	semapv:ManualMappingCuration	Compiles	hasPart	This resource compiles others
datacite-vocab:relationType/IsVariantFormOf	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsVariantFormOf	isBasedOn	Variant form derived from an original
datacite-vocab:relationType/IsOriginalFormOf	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsOriginalFormOf	isBasedOn	Original from which a variant was derived
datacite-vocab:relationType/IsIdenticalTo	skos:closeMatch	schema:sameAs	semapv:ManualMappingCuration	IsIdenticalTo	sameAs	Same content as another resource; schema:sameAs is the closest schema.org property
datacite-vocab:relationType/IsReviewedBy	skos:relatedMatch	schema:review	semapv:ManualMappingCuration	IsReviewedBy	review	A review of this resource exists
datacite-vocab:relationType/Reviews	skos:exactMatch	schema:reviews	semapv:ManualMappingCuration	Reviews	reviews	This resource is a review of another
datacite-vocab:relationType/IsDerivedFrom	skos:exactMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsDerivedFrom	isBasedOn	This resource is derived from another source
datacite-vocab:relationType/IsSourceOf	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsSourceOf	isBasedOn	Inverse of IsDerivedFrom; schema:isBasedOn has no explicit inverse
datacite-vocab:relationType/IsRequiredBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsRequiredBy	isRelatedTo	Another resource depends on this one
datacite-vocab:relationType/Requires	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	Requires	isRelatedTo	This resource depends on another
datacite-vocab:relationType/Obsoletes	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	Obsoletes	isRelatedTo	This resource supersedes another; no dedicated schema.org property
datacite-vocab:relationType/IsObsoletedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsObsoletedBy	isRelatedTo	This resource has been superseded
datacite-vocab:relationType/IsCollectedBy	skos:relatedMatch	schema:isRelatedTo	semapv:ManualMappingCuration	IsCollectedBy	isRelatedTo	This resource is collected by another (e.g. a harvester)
datacite-vocab:relationType/Collects	skos:relatedMatch	schema:hasPart	semapv:ManualMappingCuration	Collects	hasPart	This resource collects others
datacite-vocab:relationType/IsBasedOn	skos:exactMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsBasedOn	isBasedOn	Direct derivation from a prior work
datacite-vocab:relationType/IsBasisFor	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsBasisFor	isBasedOn	Inverse of IsBasedOn; schema:isBasedOn has no explicit inverse
datacite-vocab:relationType/IsVersionOf	skos:closeMatch	schema:isBasedOn	semapv:ManualMappingCuration	IsVersionOf	isBasedOn	Version relationship to a more general resource; isBasedOn is the closest schema.org term
datacite-vocab:relationType/HasVersion	skos:relatedMatch	schema:isBasedOn	semapv:ManualMappingCuration	HasVersion	isBasedOn	Inverse of IsVersionOf
datacite-vocab:relationType/IsTranslationOf	skos:exactMatch	schema:translationOfWork	semapv:ManualMappingCuration	IsTranslationOf	translationOfWork	This resource is a translation of another; new in DataCite 4.6
datacite-vocab:relationType/HasTranslation	skos:exactMatch	schema:workTranslation	semapv:ManualMappingCuration	HasTranslation	workTranslation	This resource has a translated version; new in DataCite 4.6
datacite-prop:size	skos:exactMatch	schema:contentSize	semapv:ManualMappingCuration	size	contentSize	File size or extent of the resource
datacite-prop:format	skos:exactMatch	schema:encodingFormat	semapv:ManualMappingCuration	format	encodingFormat	Media or file format (e.g. application/pdf)
datacite-prop:version	skos:exactMatch	schema:version	semapv:ManualMappingCuration	version	version	Version string or number of the resource
datacite-prop:rights	skos:closeMatch	schema:license	semapv:ManualMappingCuration	rights	license	Rights statement or license; closeMatch because DataCite rights covers any rights statement while schema:license is specific to licensing
datacite-prop:rights/rightsURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	rightsURI	url	Resolvable URL of the license or rights statement
datacite-prop:rights/rightsIdentifier	skos:closeMatch	schema:identifier	semapv:ManualMappingCuration	rightsIdentifier	identifier	Machine-readable license code (e.g. CC-BY-4.0); modelled as the value of a PropertyValue
datacite-prop:rights/rightsIdentifierScheme	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	rightsIdentifierScheme	propertyID	Scheme of the rights identifier (e.g. SPDX)
datacite-prop:rights/schemeURI	skos:exactMatch	schema:url	semapv:ManualMappingCuration	schemeURI	url	Resolvable URL of the rights identifier scheme
datacite-prop:description	skos:exactMatch	schema:description	semapv:ManualMappingCuration	description	description	Free-text description of the resource
datacite-vocab:descriptionType/Abstract	skos:exactMatch	schema:abstract	semapv:ManualMappingCuration	Abstract	abstract	An abstract maps directly to the dedicated schema:abstract property on CreativeWork
datacite-vocab:descriptionType/Methods	skos:relatedMatch	schema:description	semapv:ManualMappingCuration	Methods	description	Methodological description; no dedicated schema.org slot; use schema:description with a label
datacite-vocab:descriptionType/SeriesInformation	skos:relatedMatch	schema:description	semapv:ManualMappingCuration	SeriesInformation	description	Series context information; no dedicated schema.org slot
